transaction_unique_id,seller_company_name,customer_company_name,ferc_tariff_reference,contract_service_agreement,transaction_unique_identifier,transaction_begin_date,transaction_end_date,trade_date,exchange_brokerage_service,type_of_rate,time_zone,point_of_delivery_balancing_authority,point_of_delivery_specific_location,class_name,term_name,increment_name,increment_peaking_name,product_name,transaction_quantity,price,rate_units,standardized_quantity,standardized_price,total_transmission_charge,total_transaction_charge
T33358132,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T80,2020-01-01T06:40:00,2020-01-01T06:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,21.1,$/MWH,,,0,8.79
T33358133,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T81,2020-01-01T06:45:00,2020-01-01T06:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,7,$/MWH,,,0,2.92
T33358134,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T82,2020-01-01T06:50:00,2020-01-01T06:55:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,6.75,$/MWH,,,0,2.81
T33358135,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T83,2020-01-01T06:55:00,2020-01-01T07:00:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,8.11,$/MWH,,,0,3.38
T33358136,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T84,2020-01-01T07:00:00,2020-01-01T07:05:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,24.87,$/MWH,,,0,10.36
T33358137,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T85,2020-01-01T07:05:00,2020-01-01T07:10:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,24.87,$/MWH,,,0,10.36
T33358138,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T86,2020-01-01T07:10:00,2020-01-01T07:15:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,8.73,$/MWH,,,0,3.64
T33358139,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T87,2020-01-01T07:15:00,2020-01-01T07:20:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,7.47,$/MWH,,,0,3.11
T33358140,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T88,2020-01-01T07:20:00,2020-01-01T07:25:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,9.33,$/MWH,,,0,3.89
T33358141,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T89,2020-01-01T07:25:00,2020-01-01T07:30:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,10.88,$/MWH,,,0,4.53
T33358142,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T90,2020-01-01T07:30:00,2020-01-01T07:35:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,9.68,$/MWH,,,0,4.03
T33358143,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T91,2020-01-01T07:35:00,2020-01-01T07:40:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,24.87,$/MWH,,,0,10.36
T33358144,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T92,2020-01-01T07:40:00,2020-01-01T07:45:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,7.63,$/MWH,,,0,3.18
T33358145,"KCE NY 1, LLC","Galt Power, Inc.",FERC Tariff No. 1,KCENY1,T93,2020-01-01T07:45:00,2020-01-01T07:50:00,2020-01-01,,RTO/ISO,EP,NYIS,24008,N/A,ST,5,OP,REGULATION & FREQUENCY RESPONSE,0.4167,24.87,$/MWH,,,0,10.36
